department,salary,averageMonthlyHours,projectCount,satisfaction,evaluation,yearsAtCompany,workAccident,turnover
management,medium,267,2,40.0,46.0,3,0,1
IT,medium,292,2,45.0,52.0,3,0,1
IT,medium,278,4,84.0,93.0,5,0,1
IT,medium,271,3,10.0,68.0,3,0,1
IT,high,265,5,72.0,99.0,5,0,1
IT,low,282,2,40.0,50.0,3,0,1
product_mng,medium,282,2,45.0,50.0,3,0,1
product_mng,medium,272,5,89.0,98.0,5,0,1
product_mng,medium,277,2,40.0,55.0,3,0,1
product_mng,medium,264,2,38.0,53.0,3,0,1
IT,low,266,2,38.0,47.0,3,1,1
RandD,low,272,7,10.0,82.0,4,0,1
RandD,low,271,2,42.0,48.0,3,1,1
RandD,low,268,5,74.0,86.0,5,0,1
RandD,low,265,6,10.0,80.0,4,0,1
RandD,low,266,5,82.0,90.0,5,0,1
marketing,low,278,2,38.0,55.0,3,0,1
sales,low,272,2,41.0,56.0,3,0,1
accounting,low,283,2,40.0,47.0,3,0,1
support,low,265,4,83.0,98.0,5,0,1
technical,low,255,2,36.0,57.0,3,0,1
management,low,274,4,75.0,98.0,5,0,1
marketing,low,288,2,44.0,53.0,3,0,1
marketing,low,283,6,10.0,94.0,5,0,1
marketing,low,281,2,39.0,52.0,3,1,1
sales,low,262,7,9.0,84.0,4,0,1
sales,low,278,2,40.0,57.0,3,0,1
sales,low,277,2,41.0,54.0,3,0,1
sales,low,270,4,83.0,92.0,5,0,1
sales,low,255,2,42.0,47.0,3,0,1
sales,low,260,5,61.0,46.0,4,0,1
sales,medium,278,2,44.0,52.0,3,0,1
sales,medium,262,5,77.0,81.0,5,0,1
sales,medium,269,4,81.0,95.0,5,0,1
sales,medium,263,6,10.0,78.0,4,0,1
sales,medium,282,5,73.0,84.0,6,0,1
sales,medium,290,6,9.0,83.0,4,0,1
sales,medium,277,4,90.0,99.0,6,0,1
sales,medium,262,4,88.0,100.0,5,0,1
sales,medium,284,7,9.0,87.0,4,0,1
sales,medium,272,2,40.0,56.0,3,1,1
sales,medium,266,6,17.0,55.0,5,0,1
sales,medium,292,5,82.0,82.0,6,0,1
sales,high,278,4,90.0,83.0,5,0,1
accounting,low,272,4,83.0,92.0,5,0,1
accounting,medium,252,2,44.0,50.0,3,0,1
accounting,medium,298,4,50.0,85.0,3,0,1
hr,medium,286,6,14.0,61.0,5,0,1
hr,medium,267,4,77.0,82.0,5,0,1
hr,low,296,6,9.0,83.0,4,0,1
hr,low,276,6,11.0,88.0,4,0,1
technical,low,266,2,44.0,57.0,3,0,1
technical,low,284,2,43.0,52.0,3,0,1
technical,low,285,5,12.0,80.0,2,0,1
technical,low,284,7,10.0,86.0,5,0,1
technical,low,279,6,10.0,96.0,4,0,1
technical,low,272,2,40.0,48.0,3,0,1
technical,low,268,2,41.0,47.0,3,0,1
technical,low,290,2,37.0,48.0,3,0,1
technical,low,270,2,40.0,48.0,3,0,1
technical,low,268,4,74.0,96.0,5,0,1
technical,low,264,2,39.0,48.0,3,0,1
support,low,269,5,11.0,90.0,4,0,1
support,low,264,2,36.0,51.0,3,0,1
support,low,279,5,80.0,83.0,5,0,1
support,low,275,3,60.0,85.0,2,0,1
support,low,289,2,36.0,54.0,3,0,1
support,low,274,6,10.0,96.0,5,0,1
support,low,267,2,65.0,86.0,2,0,1
support,low,277,4,49.0,73.0,3,0,1
support,medium,277,5,73.0,96.0,6,1,1
support,medium,270,6,11.0,80.0,5,0,1
support,medium,272,4,73.0,91.0,5,0,1
technical,medium,277,2,43.0,46.0,3,0,1
technical,medium,273,5,73.0,93.0,5,0,1
technical,medium,273,5,76.0,85.0,6,0,1
management,medium,260,6,9.0,96.0,4,0,1
IT,medium,274,5,90.0,81.0,5,0,1
IT,medium,283,6,10.0,81.0,4,0,1
IT,medium,284,2,43.0,48.0,3,0,1
IT,medium,264,2,41.0,55.0,3,0,1
IT,medium,271,2,41.0,57.0,3,0,1
product_mng,high,287,6,10.0,87.0,4,0,1
product_mng,low,288,2,40.0,46.0,3,0,1
product_mng,medium,270,2,40.0,53.0,3,0,1
product_mng,medium,286,5,36.0,48.0,3,0,1
IT,medium,278,5,83.0,95.0,5,0,1
RandD,medium,277,5,83.0,94.0,5,0,1
RandD,low,277,2,41.0,51.0,3,0,1
RandD,low,278,7,11.0,93.0,4,0,1
RandD,low,277,5,68.0,62.0,5,1,1
RandD,low,284,2,43.0,53.0,3,0,1
marketing,low,290,2,44.0,51.0,3,0,1
marketing,low,281,5,87.0,94.0,5,0,1
sales,low,296,2,43.0,54.0,3,0,1
accounting,low,259,3,89.0,48.0,5,0,1
support,low,274,5,83.0,88.0,5,0,1
technical,low,290,6,11.0,87.0,5,0,1
management,low,269,6,85.0,100.0,3,1,1
marketing,low,301,4,89.0,97.0,5,0,1
marketing,low,288,7,9.0,92.0,4,0,1
marketing,low,277,4,43.0,55.0,3,0,1
sales,low,282,2,42.0,46.0,3,0,1
sales,low,275,2,43.0,54.0,3,0,1
sales,low,285,6,10.0,93.0,4,0,1
sales,low,270,2,37.0,46.0,3,0,1
sales,low,284,4,76.0,98.0,5,0,1
sales,low,297,4,88.0,89.0,5,0,1
sales,low,295,2,39.0,48.0,3,0,1
sales,medium,266,2,45.0,54.0,3,0,1
sales,medium,272,5,91.0,95.0,5,0,1
sales,medium,276,5,86.0,85.0,5,0,1
sales,medium,277,2,39.0,53.0,3,0,1
sales,medium,282,4,89.0,100.0,5,0,1
sales,medium,288,6,11.0,86.0,4,0,1
sales,medium,271,6,10.0,87.0,5,0,1
sales,medium,275,2,38.0,57.0,3,0,1
sales,medium,271,2,40.0,54.0,3,0,1
sales,medium,264,5,86.0,97.0,5,0,1
sales,medium,272,6,10.0,86.0,4,0,1
sales,medium,288,6,10.0,85.0,4,0,1
accounting,high,293,2,42.0,50.0,3,0,1
accounting,low,275,2,36.0,46.0,3,0,1
accounting,medium,266,2,39.0,48.0,3,0,1
hr,medium,285,2,43.0,47.0,3,0,1
hr,medium,286,2,36.0,49.0,3,0,1
hr,medium,269,6,9.0,91.0,4,0,1
hr,low,270,2,42.0,55.0,3,0,1
technical,low,287,2,42.0,46.0,3,0,1
technical,low,274,5,91.0,89.0,5,0,1
technical,low,269,2,41.0,56.0,3,0,1
technical,low,294,6,11.0,78.0,4,0,1
technical,low,265,6,9.0,83.0,5,0,1
technical,low,265,5,83.0,100.0,5,0,1
technical,low,286,6,11.0,78.0,4,0,1
technical,low,297,7,10.0,93.0,4,0,1
technical,low,284,2,42.0,55.0,3,0,1
technical,low,279,7,10.0,97.0,4,0,1
technical,low,270,2,38.0,51.0,3,0,1
support,low,270,4,77.0,98.0,6,0,1
support,low,277,7,11.0,85.0,4,0,1
support,low,284,5,87.0,97.0,6,0,1
support,low,272,7,10.0,88.0,4,0,1
support,low,267,7,10.0,89.0,4,0,1
support,low,271,6,9.0,90.0,4,0,1
support,low,273,5,84.0,85.0,5,0,1
support,low,279,6,11.0,86.0,4,0,1
support,low,279,5,81.0,97.0,5,0,1
support,medium,275,5,77.0,85.0,5,0,1
support,medium,270,2,42.0,47.0,3,0,1
technical,medium,280,2,36.0,56.0,3,0,1
technical,medium,284,5,81.0,83.0,6,0,1
technical,medium,263,2,37.0,46.0,3,1,1
management,medium,293,6,10.0,96.0,4,0,1
IT,medium,274,6,14.0,55.0,5,0,1
IT,medium,281,2,41.0,51.0,3,0,1
IT,medium,291,2,44.0,55.0,3,0,1
IT,medium,273,5,82.0,94.0,5,1,1
IT,medium,262,3,67.0,54.0,5,0,1
product_mng,medium,272,2,44.0,57.0,3,0,1
product_mng,high,271,2,42.0,54.0,3,0,1
product_mng,low,279,4,84.0,83.0,5,0,1
product_mng,medium,293,4,86.0,100.0,5,0,1
IT,medium,274,5,56.0,86.0,2,0,1
RandD,medium,275,6,9.0,93.0,4,0,1
RandD,medium,281,7,10.0,81.0,4,0,1
RandD,low,276,2,39.0,54.0,3,0,1
RandD,low,287,5,75.0,89.0,5,0,1
RandD,low,265,2,43.0,55.0,3,0,1
marketing,low,279,7,9.0,96.0,5,0,1
sales,low,278,4,83.0,94.0,5,0,1
accounting,low,251,3,59.0,100.0,4,0,1
support,low,292,2,44.0,54.0,3,0,1
technical,low,265,2,38.0,49.0,3,0,1
management,low,280,5,76.0,98.0,5,0,1
marketing,low,282,4,22.0,86.0,3,0,1
marketing,low,286,2,40.0,46.0,3,0,1
marketing,low,274,2,41.0,48.0,3,0,1
sales,low,281,2,38.0,51.0,3,0,1
sales,low,278,4,45.0,68.0,4,1,1
sales,low,282,2,39.0,56.0,3,0,1
sales,low,264,2,45.0,47.0,3,0,1
sales,low,271,2,42.0,53.0,3,1,1
sales,low,268,6,10.0,87.0,4,0,1
sales,low,300,5,78.0,96.0,5,0,1
sales,low,284,2,39.0,56.0,3,0,1
sales,low,269,7,10.0,87.0,4,0,1
sales,medium,261,6,10.0,80.0,4,0,1
sales,medium,267,2,43.0,46.0,3,0,1
sales,medium,277,2,38.0,45.0,3,0,1
sales,medium,271,6,9.0,77.0,5,0,1
sales,medium,278,2,39.0,53.0,3,0,1
sales,medium,261,6,73.0,99.0,5,0,1
sales,medium,275,2,38.0,49.0,3,0,1
sales,medium,271,6,10.0,91.0,4,0,1
sales,medium,284,2,41.0,54.0,3,0,1
sales,medium,263,2,43.0,51.0,3,0,1
accounting,medium,262,4,79.0,96.0,5,0,1
accounting,medium,283,6,10.0,81.0,4,0,1
accounting,high,270,6,11.0,97.0,4,0,1
hr,low,276,2,42.0,50.0,3,0,1
hr,medium,289,2,36.0,51.0,3,0,1
hr,medium,246,5,63.0,93.0,3,0,1
hr,medium,270,2,41.0,56.0,3,0,1
technical,medium,278,2,36.0,46.0,3,0,1
technical,low,267,6,10.0,90.0,5,0,1
technical,low,285,6,11.0,96.0,4,0,1
technical,low,282,2,44.0,54.0,3,0,1
technical,low,284,5,77.0,96.0,6,0,1
technical,low,272,4,91.0,100.0,6,0,1
technical,low,267,2,26.0,46.0,3,0,1
technical,low,278,5,81.0,93.0,6,0,1
technical,low,281,6,11.0,87.0,4,0,1
technical,low,270,4,92.0,89.0,5,0,1
technical,low,285,5,10.0,86.0,4,0,1
support,low,267,2,45.0,51.0,3,0,1
support,low,283,6,11.0,94.0,4,0,1
support,low,285,5,23.0,70.0,4,0,1
support,low,256,4,86.0,95.0,5,0,1
support,low,286,2,44.0,55.0,3,0,1
support,low,271,2,41.0,56.0,3,0,1
support,low,279,5,84.0,97.0,5,0,1
support,low,275,2,42.0,52.0,3,0,1
support,low,266,7,11.0,88.0,4,0,1
support,low,270,2,38.0,46.0,3,0,1
support,low,264,7,11.0,96.0,4,0,1
technical,medium,266,6,10.0,83.0,4,0,1
technical,medium,271,5,86.0,88.0,5,0,1
technical,medium,288,4,91.0,100.0,5,1,1
management,medium,272,2,37.0,53.0,3,0,1
IT,medium,262,2,46.0,50.0,3,0,1
IT,medium,284,6,10.0,89.0,5,0,1
IT,medium,266,2,37.0,46.0,3,0,1
IT,medium,273,2,40.0,48.0,3,0,1
IT,medium,269,6,9.0,78.0,4,0,1
product_mng,medium,271,6,11.0,89.0,4,0,1
product_mng,medium,272,2,39.0,48.0,3,0,1
product_mng,medium,272,4,89.0,96.0,6,0,1
product_mng,high,280,6,9.0,91.0,4,0,1
IT,low,285,4,88.0,97.0,5,1,1
RandD,medium,290,7,11.0,90.0,4,0,1
RandD,medium,256,6,10.0,95.0,5,0,1
RandD,medium,263,4,91.0,100.0,6,0,1
RandD,medium,272,2,44.0,52.0,3,0,1
RandD,low,272,2,63.0,76.0,4,0,1
marketing,low,268,7,10.0,87.0,4,0,1
sales,low,281,2,36.0,51.0,3,0,1
accounting,low,289,2,45.0,51.0,3,0,1
support,low,270,5,73.0,100.0,6,0,1
technical,low,264,2,37.0,55.0,3,0,1
management,low,265,7,9.0,85.0,4,0,1
marketing,low,273,3,41.0,71.0,4,0,1
marketing,low,280,5,72.0,100.0,5,0,1
marketing,low,280,2,36.0,54.0,3,0,1
sales,low,263,4,90.0,100.0,5,0,1
sales,low,274,2,44.0,56.0,3,0,1
sales,low,268,4,78.0,95.0,5,0,1
sales,low,272,2,37.0,52.0,3,0,1
sales,low,298,2,40.0,47.0,3,1,1
sales,low,284,5,84.0,100.0,5,0,1
sales,low,270,6,9.0,86.0,4,0,1
sales,low,276,4,83.0,93.0,5,0,1
sales,low,270,6,11.0,87.0,4,0,1
sales,low,269,2,37.0,50.0,3,0,1
sales,low,292,6,9.0,93.0,5,0,1
sales,medium,290,2,43.0,47.0,2,0,1
sales,medium,270,2,39.0,56.0,3,0,1
sales,medium,288,2,85.0,90.0,2,0,1
sales,medium,257,2,38.0,52.0,3,0,1
sales,medium,274,5,76.0,84.0,5,1,1
sales,medium,277,2,44.0,51.0,3,0,1
sales,medium,249,4,73.0,100.0,5,0,1
sales,medium,279,2,43.0,53.0,3,0,1
accounting,medium,291,2,43.0,51.0,3,1,1
accounting,medium,279,7,9.0,96.0,4,0,1
accounting,medium,272,2,43.0,53.0,3,0,1
hr,medium,270,2,45.0,57.0,3,0,1
hr,high,271,2,42.0,48.0,3,0,1
hr,low,274,2,41.0,46.0,3,1,1
hr,medium,285,2,44.0,55.0,3,0,1
technical,medium,274,7,9.0,92.0,4,0,1
technical,medium,270,2,41.0,51.0,3,0,1
technical,medium,292,2,43.0,51.0,3,0,1
technical,low,279,2,38.0,51.0,3,0,1
technical,low,292,4,85.0,96.0,5,0,1
technical,low,301,4,88.0,91.0,6,0,1
technical,low,285,2,44.0,46.0,3,0,1
technical,low,268,7,11.0,92.0,4,0,1
technical,low,290,2,38.0,50.0,3,0,1
technical,low,273,6,9.0,78.0,4,0,1
technical,low,274,6,11.0,79.0,4,0,1
support,low,268,6,11.0,88.0,4,0,1
support,low,273,2,44.0,48.0,3,0,1
support,low,281,2,38.0,51.0,3,0,1
support,low,273,6,10.0,87.0,5,0,1
support,low,273,2,45.0,57.0,3,0,1
support,low,272,7,11.0,94.0,5,0,1
support,low,276,2,36.0,48.0,3,0,1
support,low,274,5,72.0,95.0,5,0,1
support,low,273,2,43.0,48.0,3,0,1
support,low,281,2,45.0,50.0,3,0,1
support,low,271,2,40.0,53.0,3,0,1
technical,low,259,6,10.0,81.0,4,0,1
technical,low,276,5,83.0,93.0,5,0,1
technical,medium,271,7,11.0,80.0,4,0,1
management,medium,276,2,43.0,50.0,3,0,1
IT,medium,291,2,38.0,50.0,3,0,1
IT,medium,284,5,83.0,100.0,5,0,1
IT,medium,273,7,11.0,82.0,4,0,1
IT,medium,265,2,43.0,52.0,3,0,1
IT,medium,275,6,11.0,88.0,4,0,1
product_mng,medium,272,2,43.0,46.0,3,0,1
product_mng,medium,287,6,10.0,89.0,4,0,1
product_mng,medium,279,2,44.0,51.0,3,0,1
product_mng,medium,293,5,82.0,91.0,6,0,1
IT,medium,277,6,10.0,86.0,4,0,1
RandD,high,275,5,10.0,95.0,4,0,1
RandD,low,266,5,30.0,89.0,5,0,1
RandD,medium,276,6,10.0,93.0,4,0,1
RandD,medium,266,2,39.0,50.0,3,0,1
RandD,medium,290,4,14.0,47.0,2,0,1
marketing,medium,276,4,82.0,92.0,5,0,1
sales,low,288,6,10.0,85.0,4,0,1
accounting,low,277,6,9.0,90.0,4,0,1
support,low,289,6,54.0,83.0,6,0,1
technical,low,268,2,61.0,58.0,4,0,1
management,low,271,6,10.0,79.0,4,0,1
marketing,low,270,6,10.0,90.0,4,0,1
marketing,low,292,2,36.0,49.0,3,0,1
marketing,low,284,7,10.0,97.0,4,0,1
sales,low,276,5,84.0,100.0,5,0,1
sales,low,269,2,38.0,51.0,3,0,1
sales,low,282,2,41.0,49.0,3,0,1
sales,low,284,2,37.0,51.0,3,1,1
sales,low,268,2,43.0,56.0,3,0,1
sales,low,288,2,46.0,53.0,3,0,1
sales,low,272,6,9.0,84.0,4,0,1
sales,low,283,5,78.0,86.0,5,0,1
sales,low,276,2,45.0,53.0,3,0,1
sales,low,287,2,42.0,47.0,3,0,1
sales,low,268,2,46.0,53.0,3,0,1
sales,low,269,2,39.0,49.0,3,0,1
sales,low,279,2,36.0,51.0,3,0,1
sales,medium,274,2,43.0,53.0,3,0,1
sales,medium,275,5,85.0,87.0,5,1,1
sales,medium,291,6,11.0,92.0,4,0,1
sales,medium,273,6,11.0,90.0,4,0,1
sales,medium,276,2,38.0,47.0,3,0,1
sales,medium,263,2,43.0,57.0,3,0,1
accounting,medium,286,5,75.0,100.0,6,0,1
accounting,medium,280,6,11.0,92.0,4,0,1
accounting,medium,278,7,10.0,90.0,4,0,1
hr,medium,289,7,10.0,81.0,5,0,1
hr,medium,254,2,37.0,50.0,3,0,1
hr,medium,275,5,11.0,93.0,5,0,1
hr,high,269,2,45.0,46.0,3,0,1
technical,low,278,2,44.0,48.0,3,0,1
technical,medium,278,2,44.0,56.0,3,0,1
technical,medium,273,6,11.0,77.0,4,0,1
technical,medium,286,5,79.0,93.0,5,0,1
technical,medium,284,5,80.0,90.0,5,0,1
technical,low,280,7,10.0,87.0,5,0,1
technical,low,279,6,9.0,93.0,4,0,1
technical,low,251,6,70.0,84.0,4,0,1
technical,low,272,4,72.0,84.0,5,0,1
technical,low,287,6,11.0,80.0,4,0,1
technical,low,258,2,39.0,51.0,3,0,1
support,low,276,2,40.0,49.0,3,0,1
support,low,272,2,43.0,54.0,3,0,1
support,low,276,5,76.0,87.0,5,0,1
support,low,285,2,40.0,48.0,3,0,1
support,low,284,6,9.0,89.0,4,0,1
support,low,276,2,37.0,54.0,3,0,1
support,low,268,5,87.0,91.0,5,0,1
support,low,287,6,10.0,86.0,4,0,1
support,low,262,6,11.0,86.0,4,0,1
support,low,301,2,43.0,50.0,3,0,1
support,low,274,6,10.0,81.0,4,0,1
technical,low,277,6,11.0,95.0,4,0,1
technical,low,287,5,85.0,87.0,5,0,1
technical,low,280,2,37.0,49.0,3,0,1
management,low,281,2,44.0,52.0,3,0,1
IT,medium,286,7,10.0,83.0,5,0,1
IT,medium,306,6,11.0,89.0,4,0,1
IT,medium,255,5,87.0,88.0,5,0,1
IT,medium,271,2,39.0,49.0,3,0,1
IT,medium,281,7,10.0,94.0,4,0,1
product_mng,medium,262,2,44.0,53.0,3,0,1
product_mng,medium,268,2,40.0,49.0,3,0,1
product_mng,medium,291,5,76.0,98.0,6,0,1
product_mng,medium,268,2,46.0,55.0,3,0,1
IT,medium,279,4,90.0,92.0,5,0,1
RandD,medium,275,4,85.0,87.0,5,0,1
RandD,medium,271,5,10.0,78.0,4,1,1
RandD,high,260,2,43.0,49.0,3,0,1
RandD,low,267,5,20.0,50.0,6,0,1
RandD,medium,266,5,81.0,92.0,5,0,1
marketing,medium,292,5,83.0,85.0,5,0,1
sales,medium,270,4,14.0,75.0,5,1,1
accounting,medium,292,5,10.0,84.0,5,0,1
support,low,288,4,91.0,98.0,6,0,1
technical,low,266,2,37.0,57.0,3,0,1
management,low,282,2,42.0,57.0,3,1,1
marketing,low,280,2,39.0,68.0,5,0,1
marketing,low,281,2,39.0,54.0,3,0,1
marketing,low,276,2,44.0,52.0,3,0,1
sales,low,269,2,37.0,45.0,3,0,1
sales,low,265,2,39.0,53.0,3,0,1
sales,low,276,4,72.0,94.0,5,0,1
sales,low,280,2,37.0,49.0,3,0,1
sales,low,279,5,82.0,94.0,5,0,1
sales,low,264,2,42.0,52.0,3,0,1
sales,low,285,2,59.0,100.0,5,0,1
sales,low,289,5,82.0,86.0,5,0,1
sales,low,273,6,73.0,97.0,2,0,1
sales,low,271,3,78.0,66.0,3,0,1
sales,low,283,6,9.0,95.0,4,0,1
sales,low,272,6,10.0,97.0,4,0,1
sales,low,257,2,45.0,46.0,3,0,1
sales,low,260,5,83.0,81.0,5,0,1
sales,low,270,2,43.0,51.0,3,0,1
sales,medium,280,2,40.0,47.0,3,0,1
sales,medium,286,2,43.0,46.0,3,0,1
sales,medium,285,4,78.0,93.0,5,0,1
sales,medium,262,2,39.0,45.0,3,0,1
accounting,medium,285,6,11.0,97.0,4,0,1
accounting,medium,276,2,36.0,52.0,3,0,1
accounting,medium,276,2,36.0,54.0,3,0,1
hr,medium,276,7,10.0,79.0,4,0,1
hr,medium,279,2,40.0,47.0,3,0,1
hr,medium,276,4,81.0,85.0,6,0,1
hr,medium,270,2,40.0,47.0,3,0,1
technical,medium,278,6,9.0,93.0,4,0,1
technical,high,288,5,76.0,89.0,5,0,1
technical,low,276,5,73.0,93.0,4,0,1
technical,medium,277,2,38.0,49.0,3,0,1
technical,medium,260,5,72.0,84.0,5,0,1
technical,medium,302,2,40.0,56.0,3,0,1
technical,medium,283,5,91.0,99.0,5,0,1
technical,low,272,4,85.0,85.0,6,0,1
technical,low,278,5,90.0,70.0,4,0,1
technical,low,281,2,46.0,55.0,3,0,1
technical,low,285,2,43.0,57.0,3,1,1
support,low,276,5,89.0,88.0,5,1,1
support,low,269,6,9.0,81.0,4,0,1
support,low,269,2,40.0,48.0,3,0,1
support,low,269,6,76.0,83.0,6,0,1
support,low,276,2,40.0,57.0,3,0,1
support,low,277,2,37.0,48.0,3,0,1
support,low,279,2,37.0,53.0,3,0,1
support,low,285,6,11.0,96.0,4,0,1
support,low,272,2,37.0,52.0,3,0,1
support,low,275,7,9.0,89.0,4,0,1
support,low,268,5,88.0,86.0,5,0,1
technical,low,271,5,84.0,94.0,5,0,1
technical,low,277,6,10.0,98.0,4,0,1
technical,low,264,2,41.0,47.0,3,1,1
management,low,284,5,84.0,91.0,6,0,1
IT,low,272,2,41.0,55.0,3,0,1
IT,low,281,5,53.0,76.0,6,0,1
IT,medium,286,2,42.0,47.0,3,1,1
IT,medium,276,2,36.0,50.0,3,0,1
IT,medium,287,2,38.0,52.0,3,0,1
product_mng,medium,287,2,36.0,48.0,3,0,1
product_mng,medium,245,2,46.0,54.0,3,0,1
product_mng,medium,283,2,37.0,47.0,3,1,1
product_mng,medium,253,2,42.0,49.0,3,0,1
IT,medium,273,2,44.0,56.0,3,0,1
RandD,medium,273,5,92.0,82.0,5,0,1
RandD,medium,286,6,10.0,79.0,5,0,1
RandD,medium,297,4,76.0,100.0,6,0,1
RandD,medium,272,6,11.0,79.0,4,0,1
RandD,high,284,2,43.0,48.0,3,0,1
marketing,low,258,2,40.0,49.0,3,0,1
sales,medium,275,7,11.0,84.0,4,0,1
accounting,medium,294,5,84.0,82.0,5,0,1
support,medium,283,5,84.0,84.0,5,0,1
technical,medium,269,7,51.0,60.0,5,0,1
management,low,268,5,66.0,91.0,4,0,1
marketing,low,257,2,42.0,56.0,3,0,1
marketing,low,278,2,38.0,49.0,3,0,1
marketing,low,290,7,15.0,63.0,3,0,1
sales,low,275,2,38.0,53.0,3,0,1
sales,low,295,2,43.0,54.0,3,0,1
sales,low,282,2,37.0,57.0,3,0,1
sales,low,282,7,11.0,92.0,4,0,1
sales,low,258,2,41.0,53.0,3,0,1
sales,low,277,4,84.0,96.0,5,0,1
sales,low,273,2,40.0,51.0,3,0,1
sales,low,276,4,58.0,74.0,3,0,0
sales,low,269,2,82.0,67.0,3,0,0
sales,low,284,5,45.0,69.0,3,0,0
sales,low,269,5,78.0,82.0,3,0,0
sales,low,276,3,49.0,60.0,2,0,0
sales,low,269,3,36.0,95.0,4,0,0
sales,low,273,2,54.0,37.0,2,0,0
sales,low,284,5,99.0,91.0,4,0,0
sales,low,253,6,50.0,75.0,3,0,0
sales,low,266,4,74.0,64.0,3,0,0
sales,medium,272,4,56.0,58.0,3,0,0
sales,medium,271,2,34.0,39.0,3,0,0
accounting,medium,279,5,48.0,94.0,6,0,0
accounting,medium,284,3,73.0,62.0,3,0,0
accounting,medium,266,3,59.0,87.0,4,0,0
hr,medium,268,3,81.0,57.0,2,0,0
hr,medium,281,3,90.0,66.0,3,0,0
hr,medium,288,6,41.0,84.0,6,0,0
hr,medium,282,4,89.0,92.0,5,0,0
technical,medium,279,4,48.0,84.0,3,0,0
technical,medium,274,5,79.0,97.0,2,0,0
technical,medium,288,5,98.0,66.0,3,0,0
technical,high,271,4,75.0,70.0,4,0,0
technical,low,275,4,100.0,41.0,3,0,0
technical,medium,267,5,24.0,82.0,6,0,0
technical,medium,275,6,84.0,43.0,4,0,0
technical,medium,266,4,56.0,86.0,3,1,0
technical,medium,278,4,92.0,93.0,3,0,0
technical,low,272,3,61.0,98.0,3,0,0
technical,low,273,4,84.0,77.0,4,0,0
support,low,275,3,85.0,59.0,3,0,0
support,low,278,2,67.0,57.0,4,0,0
support,low,278,4,54.0,94.0,4,0,0
support,low,269,5,75.0,56.0,4,0,0
support,low,294,4,82.0,79.0,2,0,0
support,low,273,4,76.0,60.0,2,0,0
support,low,274,6,19.0,53.0,4,0,0
support,low,271,3,61.0,41.0,3,0,0
support,low,282,3,51.0,80.0,2,1,0
support,low,281,3,52.0,88.0,2,1,0
support,low,265,3,74.0,58.0,3,0,0
technical,low,258,4,98.0,91.0,3,0,0
technical,low,274,3,71.0,92.0,4,0,0
technical,low,276,6,33.0,88.0,3,0,0
management,low,284,3,98.0,97.0,3,0,0
IT,low,276,2,52.0,59.0,3,1,0
IT,low,263,2,84.0,65.0,3,0,0
IT,low,281,3,87.0,50.0,2,0,0
IT,low,280,3,48.0,85.0,4,0,0
IT,medium,271,4,58.0,55.0,3,0,0
product_mng,medium,279,5,58.0,84.0,3,0,0
product_mng,medium,266,4,73.0,69.0,3,0,0
product_mng,medium,272,4,68.0,54.0,3,0,0
product_mng,medium,259,3,41.0,68.0,3,1,0
IT,medium,254,3,85.0,60.0,3,0,0
RandD,medium,268,5,54.0,70.0,5,0,0
RandD,medium,280,5,81.0,61.0,2,0,0
RandD,medium,289,4,70.0,52.0,3,0,0
RandD,medium,279,4,63.0,66.0,2,1,0
RandD,medium,268,3,68.0,54.0,2,0,0
marketing,medium,255,4,70.0,53.0,2,0,0
sales,high,283,4,82.0,65.0,3,0,0
accounting,low,267,4,72.0,94.0,4,0,0
support,medium,286,3,77.0,78.0,3,0,0
technical,medium,282,4,86.0,91.0,3,0,0
management,medium,273,3,15.0,97.0,5,0,0
marketing,medium,277,5,81.0,99.0,3,0,0
marketing,low,261,3,93.0,98.0,2,0,0
marketing,low,294,4,62.0,74.0,4,0,0
sales,low,282,3,53.0,81.0,3,1,0
sales,low,267,3,86.0,99.0,2,1,0
sales,low,280,4,92.0,65.0,2,0,0
sales,low,279,4,97.0,83.0,3,0,0
sales,low,258,2,39.0,78.0,6,1,0
sales,low,284,3,45.0,66.0,4,0,0
sales,low,286,4,41.0,47.0,3,0,0
sales,low,273,3,51.0,69.0,3,0,0
sales,low,263,4,74.0,62.0,4,0,0
sales,low,296,5,69.0,57.0,2,1,0
sales,low,274,4,84.0,64.0,4,0,0
sales,low,271,5,69.0,66.0,5,0,0
sales,low,279,5,93.0,53.0,3,0,0
sales,low,265,6,33.0,45.0,3,0,0
sales,low,272,5,25.0,65.0,3,0,0
sales,low,271,5,63.0,59.0,3,0,0
sales,low,293,3,81.0,62.0,3,0,0
sales,low,282,4,12.0,87.0,5,0,0
sales,low,264,4,52.0,66.0,3,0,0
accounting,medium,277,2,57.0,51.0,2,0,0
accounting,medium,271,4,84.0,58.0,3,0,0
accounting,medium,272,5,60.0,95.0,3,0,0
hr,medium,286,2,73.0,44.0,6,0,0
hr,medium,263,3,20.0,58.0,5,0,0
hr,medium,279,3,58.0,90.0,3,0,0
hr,medium,272,2,48.0,56.0,3,0,0
technical,medium,270,4,54.0,67.0,6,0,0
technical,medium,271,4,86.0,100.0,3,0,0
technical,medium,276,2,94.0,83.0,3,1,0
technical,medium,288,5,76.0,74.0,3,0,0
technical,medium,291,5,61.0,95.0,3,0,0
technical,high,263,4,56.0,94.0,2,0,0
technical,low,259,3,100.0,74.0,4,0,0
technical,medium,275,6,15.0,53.0,3,0,0
